veracityAccuracy,veracityPrediction,veracityPrecision,veracityRecall,veracityf1,veracitySupport,binaryAccuracy,binaryPrediction,binaryPrecision,binaryRecall,binaryf1,binarySupport,authortypeAccuracy,authortypePrediction,authortypePrecision,authortypeRecall,authortypef1,authortypeSupport,WordCnt,SyllableCnt,InDictCnt,sentimentPrediction,sentimentAccuracy,sentimentRecall,sentimentPrecision,sentimentSupport,sentimentf1
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,1,0.69,0.66,0.68,6820,1605,2341,385,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1539,2152,361,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,3,0.93,0.92,0.92,4037,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,461,604,112,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,3,0.93,0.92,0.92,4037,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1215,1567,291,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,170,270,63,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,128,156,25,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,0,0.96,0.96,0.96,3930,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,310,420,99,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,0,0.96,0.96,0.96,3930,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,1414,2034,349,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,774,1062,220,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1094,1465,325,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,667,904,155,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,817,813,7,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,117,150,38,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1023,1297,231,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,0,0.74,0.73,0.73,6624,110,126,34,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,577,900,199,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,3,0.93,0.92,0.92,4037,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1585,1925,311,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,3,0.93,0.92,0.92,4037,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1617,1973,374,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,448,589,120,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,0,0.96,0.96,0.96,3930,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,330,456,97,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,552,785,159,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,0,0.96,0.96,0.96,3930,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,157,243,73,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,2352,3362,500,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,1165,1537,278,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,0,0.96,0.96,0.96,3930,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,82,123,46,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,1,0.69,0.66,0.68,6820,1625,2766,558,f,0.6423,0.56797,0.67152,5039,0.6657
0.8953880764904387,1,0.78,0.82,0.8,3988,0.9186976627921508,0,0.88,0.91,0.89,7918,0.7544681914760655,0,0.74,0.73,0.73,6624,348,533,88,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,732,1014,193,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,362,409,86,t,0.6423,0.7178,0.6206,4961,0.6657
0.8953880764904387,2,0.78,0.75,0.76,4047,0.9186976627921508,1,0.91,0.88,0.89,8084,0.7544681914760655,1,0.69,0.66,0.68,6820,969,1404,225,t,0.6423,0.7178,0.6206,4961,0.6657
